gene_id	r	p
?|100130426	0	NaN
?|100133144	4.77755	0.150344
?|100134869	14.0211	0.256775
?|10357	4.74818	0.37491
?|10431	8.12293	0.00560219
?|136542	0	NaN
?|155060	5.32427	0.0140177
?|26823	1.55267	0.427026
?|280660	0	NaN
?|317712	0	NaN
?|340602	1.13291	0.552754
?|388795	0.53436	0.561877
?|390284	1.23518	0.00980419
?|391343	0.244433	0.0102943
?|391714	3.00462e+06	1
?|404770	0	NaN
?|441362	0	NaN
?|442388	0	NaN
?|553137	0	NaN
?|57714	6.56775	0.00352004
?|645851	9.90381	0.313705
?|652919	0.0882252	0.00682775
?|653553	1.25	NaN
?|728045	0	NaN
?|728603	0	NaN
?|728788	0	NaN
?|729884	0	NaN
?|8225	24.6699	0.0252269
?|90288	2.50611	0.153378
A1BG|1	1.88986	0.40731
A1CF|29974	0	NaN
A2BP1|54715	0	NaN
A2LD1|87769	6.68111	0.0718287
A2ML1|144568	0	NaN
A2M|2	0.384229	0.338758
A4GALT|53947	2.57347	0.00398942
A4GNT|51146	0.166667	NaN
AAA1|404744	0	NaN
AAAS|8086	42.2406	0.0231108
AACSL|729522	6.18621	0.0385587
AACS|65985	12.1889	0.00873113
AADACL2|344752	0.0833333	NaN
AADACL3|126767	0	NaN
AADACL4|343066	0	NaN
AADAC|13	0	NaN
AADAT|51166	4.57629	0.0180946
AAGAB|79719	14.0155	0.00886256
AAK1|22848	19.9355	0.0128497
AAMP|14	20.2232	0.00917614
AANAT|15	2.61473	0.487392
AARS2|57505	25.9509	0.0313751
AARSD1|80755	7.94349	0.00726023
AARS|16	10.0899	0.00120423
AASDHPPT|60496	8.99976	0.00946596
AASDH|132949	3.62151	0.0106477
AASS|10157	4.99773	0.689558
AATF|26574	13.9516	0.00448719
AATK|9625	3.67506	0.0737346
ABAT|18	0.758179	0.0640272
ABCA10|10349	0.663772	0.0488771
ABCA11P|79963	4.41831	0.0291956
ABCA12|26154	1.31341	0.547998
ABCA13|154664	0.40498	0.0579511
ABCA17P|650655	5.09177	0.24929
ABCA1|19	1.13219	0.00233097
ABCA2|20	3.72201	0.000870023
ABCA3|21	2.70347	0.0283719
ABCA4|24	1.51961	0.118231
ABCA5|23461	4.89462	0.01571
ABCA6|23460	1.34553	0.801452
ABCA7|10347	6.2026	0.0031771
ABCA8|10351	1.98753	0.0880573
ABCA9|10350	0.666667	NaN
ABCB10|23456	4.30043	0.00354319
ABCB11|8647	1.41456	0.471852
ABCB1|5243	1.27492	0.0333096
ABCB4|5244	0.166667	NaN
ABCB5|340273	0.663077	0.443112
ABCB6|10058	9.01727	0.0042554
ABCB7|22	5.83159	0.00320917
ABCB8|11194	24.6133	0.0305712
ABCB9|23457	27.6161	0.092869
ABCC10|89845	36.6941	0.0752658
ABCC11|85320	1.75	NaN
ABCC12|94160	0	NaN
ABCC13|150000	0	NaN
ABCC1|4363	34.1091	0.00988472
ABCC2|1244	0.824249	0.00440796
ABCC3|8714	2.76263	0.00230842
ABCC4|10257	16.4404	0.0125505
ABCC5|10057	30.0906	0.0193197
ABCC6P1|653190	0.232613	0.258666
ABCC6P2|730013	4.9241	0.109609
ABCC6|368	1.80201	0.0125239
ABCC8|6833	0.833333	NaN
ABCC9|10060	0.681162	0.18504
ABCD1|215	9.46561	0.00340116
ABCD2|225	2.04207	0.653378
ABCD3|5825	6.49654	0.00297506
ABCD4|5826	18.1368	0.0437326
ABCE1|6059	5.40007	0.00248901
ABCF1|23	11.3339	0.00255335
ABCF2|10061	5.64601	0.00236122
ABCF3|55324	23.1147	0.0149413
ABCG1|9619	1.30778	0.00271433
ABCG2|9429	1.94203	0.0160354
ABCG4|64137	2.07987	0.274394
ABCG5|64240	0.0833333	NaN
ABCG8|64241	0	NaN
ABHD10|55347	10.3412	0.0118196
ABHD11|83451	17.3565	0.0446538
ABHD12B|145447	1.09839	0.0463813
ABHD12|26090	30.2561	0.0290341
ABHD13|84945	26.0779	0.0412411
ABHD14A|25864	34.5583	0.110067
ABHD14B|84836	13.1859	0.0073581
ABHD15|116236	14.8368	0.0313562
ABHD1|84696	3.25983	0.600724
ABHD2|11057	15.9122	0.0106847
ABHD3|171586	8.51276	0.0131182
ABHD4|63874	31.384	0.0393628
ABHD5|51099	7.99927	0.0104623
ABHD6|57406	7.06441	0.020099
ABHD8|79575	9.53504	0.0327438
ABI1|10006	17.9771	0.0229039
ABI2|10152	12.4585	0.00435962
