gene_id	r	p
?|100130426	0.0833333	NaN
?|100133144	11.4146	0.276731
?|100134869	7.44241	0.245146
?|10357	1.72003	0.203073
?|10431	2.33413	0.00126729
?|136542	0	NaN
?|155060	4.57488	0.014256
?|26823	0.348507	0.188534
?|280660	0	NaN
?|317712	0	NaN
?|340602	0	NaN
?|388795	0.25	NaN
?|390284	0.887324	0.00639648
?|391343	0.166667	NaN
?|391714	0.333333	NaN
?|404770	0	NaN
?|441362	0.172395	0.340885
?|442388	0	NaN
?|553137	0	NaN
?|57714	7.39048	0.00597063
?|645851	28.169	0.372266
?|652919	0.0282986	0.0012655
?|653553	1.34836	0.502802
?|728045	0	NaN
?|728603	0.0833333	NaN
?|728788	0	NaN
?|729884	0	NaN
?|8225	6.05967	0.00514232
?|90288	3.44389	0.4203
A1BG|1	1.04304	0.122092
A1CF|29974	0.0833333	NaN
A2BP1|54715	0	NaN
A2LD1|87769	17.7587	0.246334
A2ML1|144568	0	NaN
A2M|2	0.0784999	0.32019
A4GALT|53947	3.07022	0.005335
A4GNT|51146	0.0833333	NaN
AAA1|404744	0.25	NaN
AAAS|8086	8.26033	0.0036133
AACSL|729522	26.6839	0.175244
AACS|65985	11.0634	0.00970278
AADACL2|344752	0.0833333	NaN
AADACL3|126767	0	NaN
AADACL4|343066	0	NaN
AADAC|13	0	NaN
AADAT|51166	4.09536	0.0122367
AAGAB|79719	8.4175	0.00578489
AAK1|22848	31.8168	0.029948
AAMP|14	4.05443	0.00156765
AANAT|15	7.31466	0.837749
AARS2|57505	6.24852	0.00703795
AARSD1|80755	4.15741	0.00235371
AARS|16	36.2342	0.00515509
AASDHPPT|60496	4.80115	0.00429966
AASDH|132949	29.3047	0.0978547
AASS|10157	0.0833333	NaN
AATF|26574	4.71161	0.000903421
AATK|9625	2.04178	0.0759728
ABAT|18	0.284729	0.020781
ABCA10|10349	0.982736	0.0287775
ABCA11P|79963	2.33389	0.0148576
ABCA12|26154	0.25	NaN
ABCA13|154664	0.162309	0.0139174
ABCA17P|650655	1.80978	0.130264
ABCA1|19	0.872079	0.00467715
ABCA2|20	4.51056	0.00102814
ABCA3|21	0.64334	0.00569025
ABCA4|24	1.77913	0.0761533
ABCA5|23461	9.03781	0.0640051
ABCA6|23460	1.34836	0.502802
ABCA7|10347	10.7033	0.0071716
ABCA8|10351	0.695504	0.0414512
ABCA9|10350	0.479134	0.306652
ABCB10|23456	7.88768	0.00643776
ABCB11|8647	0.0784999	0.32019
ABCB1|5243	2.82131	0.0783959
ABCB4|5244	0.166667	NaN
ABCB5|340273	0.254575	0.0418166
ABCB6|10058	5.50667	0.00309899
ABCB7|22	11.0395	0.00844562
ABCB8|11194	5.66249	0.00787829
ABCB9|23457	8.90056	0.0209146
ABCC10|89845	35.0903	0.0762683
ABCC11|85320	2.72096	0.64463
ABCC12|94160	0	NaN
ABCC13|150000	0	NaN
ABCC1|4363	40.7051	0.0120642
ABCC2|1244	5.79967	0.131413
ABCC3|8714	1.47269	0.00103932
ABCC4|10257	19.8899	0.0106798
ABCC5|10057	8.90837	0.00432185
ABCC6P1|653190	0.345143	0.579933
ABCC6P2|730013	1.72252	0.0623216
ABCC6|368	1.59098	0.014236
ABCC8|6833	0.967739	0.036563
ABCC9|10060	3.01313e+06	1
ABCD1|215	3.8299	0.0025926
ABCD2|225	1.0632	0.476799
ABCD3|5825	3.97932	0.0010999
ABCD4|5826	12.9614	0.027673
ABCE1|6059	3.98051	0.00203427
ABCF1|23	3.69312	0.000608979
ABCF2|10061	3.72985	0.00104718
ABCF3|55324	4.79284	0.00310342
ABCG1|9619	0.91118	0.00651644
ABCG2|9429	0.866128	0.0115177
ABCG4|64137	1.44552	0.166238
ABCG5|64240	9.18765	0.932348
ABCG8|64241	0.25	NaN
ABHD10|55347	5.73459	0.00624184
ABHD11|83451	4.46172	0.0112467
ABHD12B|145447	0.979609	0.0254579
ABHD12|26090	8.19403	0.0095899
ABHD13|84945	9.24769	0.0152666
ABHD14A|25864	15.2012	0.0391834
ABHD14B|84836	9.5026	0.00421152
ABHD15|116236	18.4178	0.0404563
ABHD1|84696	0.682435	0.148384
ABHD2|11057	11.4609	0.0121553
ABHD3|171586	4.51712	0.00920577
ABHD4|63874	3.69609	0.00601859
ABHD5|51099	7.03789	0.0141644
ABHD6|57406	13.1598	0.0351796
ABHD8|79575	3.99591	0.0327993
ABI1|10006	7.09702	0.00688743
ABI2|10152	13.6111	0.00491386
ABI3BP|25890	2.02934	0.258098
ABI3|51225	0.166667	NaN
ABL1|25	7.96328	0.00170594
ABL2|27	24.5869	0.010683
ABLIM1|3983	11.3465	0.00268158
ABLIM2|84448	3.23174	0.0217653
ABLIM3|22885	2.9512	0.00335796
ABO|28	0	NaN
ABP1|26	0.345143	0.579933
ABRA|137735	9.54913	0.845121
ABR|29	11.3236	0.00921496
ABT1|29777	5.48785	0.00567715
ABTB1|80325	3.71237	0.0254193
ABTB2|25841	2.48903	0.00544957
ACAA1|30	3.96973	0.00474628
ACAA2|10449	7.74952	0.00442051
ACACA|31	16.755	0.00236041
ACACB|32	50.002	0.115278
ACAD10|80724	8.60924	0.0167731
ACAD11|84129	3.32537	0.00349428
ACAD8|27034	15.5411	0.0172527
ACAD9|28976	11.8088	0.0060538
ACADL|33	0.661286	0.0369201
ACADM|34	6.25648	0.00264983
ACADSB|36	4.54609	0.0124251
ACADS|35	10.4736	0.0587665
ACADVL|37	7.10285	0.00113119
ACAN|176	0.0833333	NaN
ACAP1|9744	1.00312	0.0532541
ACAP2|23527	9.45787	0.00898077
ACAP3|116983	5.63331	0.00233428
ACAT1|38	9.09841	0.00385142
ACAT2|39	3.01911	0.00157271
ACBD3|64746	13.8949	0.00741203
ACBD4|79777	2.17234	0.00550067
ACBD5|91452	12.9634	0.0107457
ACBD6|84320	13.9501	0.0102165
ACBD7|414149	5.35157	0.119539
ACCN1|40	0.166667	NaN
ACCN2|41	8.75804	0.00479147
ACCN3|9311	2.04154	0.0312681
ACCN4|55515	0.231418	0.0932602
ACCN5|51802	0	NaN
ACCSL|390110	0	NaN
ACCS|84680	37.3159	0.192781
ACD|65057	9.10689	0.0167862
ACE2|59272	4.63934	0.799059
ACER1|125981	0	NaN
ACER2|340485	18.1309	0.346687
ACER3|55331	21.3762	0.0346009
ACE|1636	1.97376	0.0705574
ACHE|43	5.91814	0.36985
ACIN1|22985	9.0182	0.00133995
ACLY|47	4.92505	0.000275706
ACMSD|130013	0	NaN
ACN9|57001	7.88892	0.0240597
ACO1|48	6.97688	0.00446289
ACO2|50	10.9429	0.00332011
ACOT11|26027	1.68785	0.0194145
ACOT12|134526	0.0784999	0.32019
ACOT13|55856	6.59325	0.00656692
ACOT1|641371	4.29949	0.0658426
ACOT2|10965	7.46833	0.0101973
ACOT4|122970	12.4308	0.185727
ACOT6|641372	0	NaN
ACOT7|11332	3.29133	0.00229381
ACOT8|10005	15.2084	0.0319757
ACOT9|23597	4.48791	0.00308326
ACOX1|51	17.7481	0.0176818
ACOX2|8309	1.65189	0.586076
ACOX3|8310	10.6041	0.038441
ACOXL|55289	0.976583	0.158969
ACP1|52	6.06637	0.00189063
ACP2|53	6.13015	0.00642879
ACP5|54	1.83333	NaN
ACP6|51205	15.9041	0.0543289
ACPL2|92370	4.2478	0.0113275
ACPP|55	0.0551035	0.0305265
ACPT|93650	0	NaN
ACRBP|84519	1.31638	0.0342811
ACRC|93953	7.08163	0.104272
ACRV1|56	5.69682	0.630866
ACR|49	0.345143	0.579933
ACSBG1|23205	34.1425	0.813385
ACSBG2|81616	3.87291	0.615766
ACSF2|80221	4.08268	0.00782748
ACSF3|197322	15.4263	0.0218862
ACSL1|2180	5.84556	0.0172472
ACSL3|2181	12.3376	0.0033124
ACSL4|2182	7.51565	0.00257098
ACSL5|51703	1.89902	0.0305969
ACSL6|23305	0.0833333	NaN
ACSM1|116285	0	NaN
ACSM2A|123876	0	NaN
ACSM2B|348158	0	NaN
ACSM3|6296	0.793742	0.275885
ACSM4|341392	0	NaN
ACSM5|54988	0.0833333	NaN
ACSS1|84532	0.166667	NaN
ACSS2|55902	8.09847	0.0218475
ACSS3|79611	0	NaN
ACTA1|58	2.74301	0.392251
ACTA2|59	1.26866	0.0304952
ACTBL2|345651	4.28436	0.751507
ACTB|60	2.73271	5.26247e-05
ACTC1|70	0.48751	0.00503085
ACTG1|71	8.49097	6.89616e-05
ACTG2|72	0.166667	NaN
ACTL6A|86	4.20251	0.00185784
ACTL6B|51412	0.0833333	NaN
ACTL7A|10881	0.166667	NaN
ACTL7B|10880	0.345143	0.579933
ACTL8|81569	0.413685	0.0100906
ACTL9|284382	0.460653	0.118807
ACTN1|87	14.5768	0.00288208
ACTN2|88	0.145482	0.127005
ACTN3|89	0.892391	0.317683
ACTN4|81	3.40032	0.000226752
ACTR10|55860	4.99318	0.00543282
ACTR1A|10121	4.63065	0.00137369
ACTR1B|10120	9.62763	0.00689719
ACTR2|10097	5.28242	0.000471973
ACTR3B|57180	9.95408	0.0153603
ACTR3C|653857	2.20784	0.0766847
ACTR3|10096	4.07425	0.00078684
ACTR5|79913	3.51815	0.0062972
ACTR6|64431	4.70281	0.00729926
ACTR8|93973	9.29553	0.0112986
ACTRT1|139741	0	NaN
ACTRT2|140625	0	NaN
ACVR1B|91	20.6548	0.0264498
ACVR1C|130399	0.962719	0.404608
ACVR1|90	13.5806	0.0753792
ACVR2A|92	21.8011	0.121872
ACVR2B|93	6.88634	0.00881861
ACVRL1|94	1.29104	0.295136
ACY1|95	9.56372	0.0117988
ACY3|91703	0.162325	0.177924
ACYP1|97	4.28071	0.0145959
ACYP2|98	3.45004	0.0211941
ADAD1|132612	0	NaN
ADAD2|161931	0	NaN
ADAL|161823	19.9658	0.0394217
ADAM10|102	13.3295	0.00771048
ADAM11|4185	5.0763	0.0157449
ADAM12|8038	15.9278	0.0169925
ADAM15|8751	9.68722	0.00184594
ADAM17|6868	24.4148	0.0241851
ADAM18|8749	0	NaN
ADAM19|8728	4.423	0.0216013
ADAM20|8748	3.49542e+06	1
ADAM21P1|145241	1.34553	0.801452
ADAM21|8747	3.10611	0.20676
ADAM22|53616	18.066	0.0533078
ADAM23|8745	4.32244	0.0619062
ADAM28|10863	0.255907	0.0255756
ADAM29|11086	0	NaN
ADAM2|2515	0	NaN
ADAM30|11085	0.166667	NaN
ADAM32|203102	2.5407	0.465554
ADAM33|80332	0	NaN
ADAM3A|1587	0	NaN
ADAM5P|255926	0	NaN
ADAM6|8755	0.0833333	NaN
ADAM7|8756	0	NaN
ADAM8|101	2.32131	0.0217308
ADAM9|8754	4.18186	0.00131343
ADAMDEC1|27299	0	NaN
ADAMTS10|81794	1.01117	0.00720065
ADAMTS12|81792	0	NaN
